	decimal_date	average	interpolated	Date
206	1975.375	333.94	333.94	1975-5
207	1975.458	333.45	333.45	1975-6
208	1975.542	331.98	331.98	1975-7
209	1975.625	329.95	329.95	1975-8
210	1975.708	328.5	328.5	1975-9
211	1975.792	328.35	328.35	1975-10
212	1975.875	329.37	329.37	1975-11
213	1975.958	-99.99	330.59	1975-12
214	1976.042	331.59	331.59	1976-1
215	1976.125	332.75	332.75	1976-2
216	1976.208	333.52	333.52	1976-3
217	1976.292	334.64	334.64	1976-4
218	1976.375	334.77	334.77	1976-5
219	1976.458	334.0	334.0	1976-6
220	1976.542	333.06	333.06	1976-7
221	1976.625	330.68	330.68	1976-8
222	1976.708	328.95	328.95	1976-9
223	1976.792	328.75	328.75	1976-10
224	1976.875	330.15	330.15	1976-11
225	1976.958	331.63	331.63	1976-12
226	1977.042	332.66	332.66	1977-1
227	1977.125	333.13	333.13	1977-2
228	1977.208	334.95	334.95	1977-3
229	1977.292	336.13	336.13	1977-4
230	1977.375	336.93	336.93	1977-5
231	1977.458	336.16	336.16	1977-6
232	1977.542	334.88	334.88	1977-7
233	1977.625	332.56	332.56	1977-8
234	1977.708	331.29	331.29	1977-9
235	1977.792	331.27	331.27	1977-10
236	1977.875	332.41	332.41	1977-11
237	1977.958	333.6	333.6	1977-12
238	1978.042	334.95	334.95	1978-1
239	1978.125	335.25	335.25	1978-2
240	1978.208	336.66	336.66	1978-3
241	1978.292	337.69	337.69	1978-4
242	1978.375	338.03	338.03	1978-5
243	1978.458	338.01	338.01	1978-6
244	1978.542	336.41	336.41	1978-7
245	1978.625	334.41	334.41	1978-8
246	1978.708	332.37	332.37	1978-9
247	1978.792	332.41	332.41	1978-10
248	1978.875	333.75	333.75	1978-11
249	1978.958	334.9	334.9	1978-12
250	1979.042	336.14	336.14	1979-1
251	1979.125	336.69	336.69	1979-2
252	1979.208	338.27	338.27	1979-3
253	1979.292	338.96	338.96	1979-4
254	1979.375	339.21	339.21	1979-5
255	1979.458	339.26	339.26	1979-6
256	1979.542	337.54	337.54	1979-7
257	1979.625	335.75	335.75	1979-8
258	1979.708	333.98	333.98	1979-9
259	1979.792	334.19	334.19	1979-10
260	1979.875	335.31	335.31	1979-11
261	1979.958	336.81	336.81	1979-12
262	1980.042	337.9	337.9	1980-1
263	1980.125	338.34	338.34	1980-2
264	1980.208	340.01	340.01	1980-3
265	1980.292	340.93	340.93	1980-4
266	1980.375	341.48	341.48	1980-5
267	1980.458	341.33	341.33	1980-6
268	1980.542	339.4	339.4	1980-7
269	1980.625	337.7	337.7	1980-8
270	1980.708	336.19	336.19	1980-9
271	1980.792	336.15	336.15	1980-10
272	1980.875	337.27	337.27	1980-11
273	1980.958	338.32	338.32	1980-12
274	1981.042	339.29	339.29	1981-1
275	1981.125	340.55	340.55	1981-2
276	1981.208	341.61	341.61	1981-3
277	1981.292	342.53	342.53	1981-4
278	1981.375	343.03	343.03	1981-5
279	1981.458	342.54	342.54	1981-6
280	1981.542	340.78	340.78	1981-7
281	1981.625	338.44	338.44	1981-8
282	1981.708	336.95	336.95	1981-9
283	1981.792	337.08	337.08	1981-10
284	1981.875	338.58	338.58	1981-11
285	1981.958	339.88	339.88	1981-12
286	1982.042	340.96	340.96	1982-1
287	1982.125	341.73	341.73	1982-2
288	1982.208	342.82	342.82	1982-3
289	1982.292	343.97	343.97	1982-4
290	1982.375	344.63	344.63	1982-5
291	1982.458	343.79	343.79	1982-6
292	1982.542	342.32	342.32	1982-7
293	1982.625	340.09	340.09	1982-8
294	1982.708	338.28	338.28	1982-9
295	1982.792	338.29	338.29	1982-10
296	1982.875	339.6	339.6	1982-11
297	1982.958	340.9	340.9	1982-12
298	1983.042	341.68	341.68	1983-1
299	1983.125	342.9	342.9	1983-2
300	1983.208	343.33	343.33	1983-3
301	1983.292	345.25	345.25	1983-4
302	1983.375	346.03	346.03	1983-5
303	1983.458	345.63	345.63	1983-6
304	1983.542	344.19	344.19	1983-7
305	1983.625	342.27	342.27	1983-8
306	1983.708	340.35	340.35	1983-9
307	1983.792	340.38	340.38	1983-10
308	1983.875	341.59	341.59	1983-11
309	1983.958	343.05	343.05	1983-12
310	1984.042	344.1	344.1	1984-1
311	1984.125	344.79	344.79	1984-2
312	1984.208	345.52	345.52	1984-3
313	1984.292	-99.99	346.84	1984-4
314	1984.375	347.63	347.63	1984-5
315	1984.458	346.97	346.97	1984-6
316	1984.542	345.53	345.53	1984-7
317	1984.625	343.55	343.55	1984-8
318	1984.708	341.4	341.4	1984-9
319	1984.792	341.67	341.67	1984-10
320	1984.875	343.1	343.1	1984-11
321	1984.958	344.7	344.7	1984-12
322	1985.042	345.21	345.21	1985-1
323	1985.125	346.16	346.16	1985-2
324	1985.208	347.74	347.74	1985-3
325	1985.292	348.33	348.33	1985-4
326	1985.375	349.06	349.06	1985-5
327	1985.458	348.38	348.38	1985-6
328	1985.542	346.72	346.72	1985-7
329	1985.625	345.02	345.02	1985-8
